코드	계정명	2023-03-31/1st Quarter	2023-06-30/Semi Annual	2023-09-30/3rd Quarter	2023-12-31/Annual	2024-03-31/1st Quarter	2024-06-30/Semi Annual	2024-09-30/3rd Quarter	2024-12-31/Annual	2025-03-31/1st Quarter	2025-06-30/Semi Annual	2025-09-30/3rd Quarter	2025-12-31/Annual	2026-03-31/1st Quarter
124100	   인건비	6921365000	16315941000	27297651000	36390012000	10200637000	21185548000	31672362000	45787598000	9989717000	20365078000	31784640000	50323616000	13971438000
124105	      단기종업원급여	5482050000	13388879000	22689155000	29370929000	7191095000	14790936000	22381290000	31856917000	7490095000	15103393000	22888121000	36767610000	10003731000
124110	         임원급여													
124120	         급료와임금	5482050000	13388879000	22689155000	29370929000	7191095000	14790936000	22381290000	31856917000	7490095000	15103393000	22888121000	36767610000	10003731000
124130	         제수당													
124140	         상여금													
124145	      퇴직급여	387796000	759720000	1191550000	1722579000	671367000	1331537000	2003272000	2708475000	682987000	1363020000	2040696000	2886170000	868626000
124165	      해고급여													
124166	      기타장기종업원급여													
124180	      주식보상비용													
124170	      복리후생비	1051519000	2167342000	3416946000	5296504000	2338175000	5063075000	7287800000	11222206000	1816635000	3898665000	6855823000	10669836000	3099081000
124199	      기타인건비													
124200	   일반관리비	6980921000	22925966000	21401406000	36049531000	6346210000	23647305000	30825273000	35960291000	8149421000	21021133000	29787518000	32954231000	7214026000
124211	      여비교통비													
124212	      통신비													
124213	      수도광열비													
124214	      세금과공과	269826000	5235399000	5232375000	4728001000	263768000	10590770000	11288163000	4662449000	192850000	4266590000	4418008000	455286000	209151000
124215	      임차료비용													
124216	      감가상각비	988201000	2061911000	3146579000	4266581000	1143238000	2377787000	3585732000	4810814000	1402733000	2896154000	4440760000	6057471000	1658967000
124217	      수선비													
124218	      보험료													
124219	      도서구입비													
124220	      소모품비													
124221	      도서인쇄비													
124222	      차량유지비													
124223	      교육훈련비													
124224	      수수료비용	2769546000	9542538000	12032910000	14325433000	1028399000	2687284000	4236683000	11135403000	2263140000	5108876000	7626707000	11439540000	4939259000
124226	      리스료													
124227	      전산처리비													
124228	      하자보수비													
124225	      기타관리비	2953348000	6086118000	989542000	12729516000	3910805000	7991464000	11714695000	15351625000	4290698000	8749513000	13302043000	15001934000	406649000
124300	   판매비	2065135000	7277167000	10703515000	13538257000	3040160000	8093904000	13517592000	17690520000	1890891000	5985797000	14199559000	26069843000	5502197000
124311	      접대비													
124312	      광고선전비	2065135000	7277167000	10703515000	13538257000	3040160000	8093904000	13517592000	17690520000	1890891000	5985797000	14199559000	26069843000	5502197000
124313	      보관료													
124314	      견본비													
124315	      포장비													
124316	      운반비													
124317	      판매수수료													
124319	      판매촉진비													
124318	      해외시장개척비													
124320	      수출비용													
124322	      A/S비													
124323	      반품충당부채전입액													
124321	      기타판매비													
124400	   기타판매비와관리비	482836000	1061680000	10273804000	2207027000	682006000	1339408000	1853066000	2584702000	672255000	1081180000	2045590000	2594084000	4207051000
124405	      [개발비 비용]													
124406	      연구비													
124410	      경상연구개발비													
124420	      경상개발비													
124421	      로얄티													
124440	      대손상각비	-95013000	-95013000	-95013000	-203739000	26700000	26700000	-118124000	-33990000		-304044000	-53868000	-213381000	1811000
124450	      무형자산상각비	577849000	1156693000	1772826000	2410766000	655306000	1312708000	1971190000	2618692000	672255000	1385224000	2099458000	2807465000	784413000
124451	         영업권상각													
124452	         부의영업권환입(-)													
124461	         라이선스와프랜차이즈상각													
124453	         산업재산권상각													
124462	         저작권상각													
124463	         임차권리금상각													
124454	         광업권상각													
124455	         어업권상각													
124456	         차지권상각													
124457	         전용시설이용권상각													
124458	         창업비상각													
124459	         개발비상각													
124470	         소프트웨어상각													
124471	         기타무형자산상각	577849000	1156693000	1772826000	2410766000	655306000	1312708000	1971190000	2618692000	672255000	1385224000	2099458000	2807465000	784413000
124472	      중간기간판매비와관리비조정													
124460	      기타의기타판매비와관리비			8595991000										3420827000
125000	영업이익(손실)	19022331000	73909179000	131041874000	145770072000	48404055000	80413118000	116617954000	136055145000	57275580000	100127393000	139638925000	155816231000	37304809000
125001	[공시영업이익(손실)]	19022331000	73909179000	131041874000	145770072000	48404055000	80413118000	116617954000	136055145000	57275580000	100127393000	139638925000	155816231000	37304809000
125100	영업외수익	16845854000	38085630000	48403011000	63014954000	19324462000	34000336000	45406240000	71158458000	16383076000	34159371000	50502139000	60036999000	15746202000
125182	   금융수익	7217754000	19407900000	22840895000	28907611000	6206736000	11151762000	15398340000	24404717000	5682029000	8137168000	10586567000	14942858000	4215141000
125192	   [공시금융수익]	7201677000	19381823000	22814818000	28881534000	6164016000	11095042000	15341620000	24347997000	5628285000	8073424000	10522823000	14879114000	4171503000
125101	      이자수익	7201677000	19381823000	22814818000	28881534000	6164016000	11095042000	15341620000	24347997000	5628285000	8073424000	10522823000	14879114000	4171503000
125102	      장단기투자자산이자수익													
125103	      배당금 수익	16077000	26077000	26077000	26077000	42720000	56720000	56720000	56720000	53744000	63744000	63744000	63744000	43638000
125132	      매출채권처분이익													
125116	      주식배당금수익													
125183	      기타금융수익													
125200	   단기투자자산처분이익													
125201	   장기투자자산처분이익								3458805000					
125122	   투자자산처분이익													
125131	   단기금융상품처분이익													
125146	   단기매매금융자산처분이익													
125169	   당기손익인식금융자산처분이익	1769639000	4125765000	4233626000	6573370000	452639000	1085866000	2399969000		1280655000	1855279000	2822497000	5064823000	1656278000
125147	   매도가능금융자산처분이익													
125148	   만기보유금융자산처분이익													
125104	   기타장단기투자자산처분이익													
125165	   지분법주식처분이익													
125184	   종속기업투자처분이익													
125185	   관계기업투자처분이익													
125186	   조인트벤처투자처분이익													
125133	   임대주택자산처분이익													
125123	   유,무형,리스자산처분이익	333706000	827283000	827283000	869862000	4014000	300000	300000	300000	847000	847000	47673000	47673000	7045000
125117	   신주인수권처분이익													
