코드	계정명	2023-03-31/1st Quarter	2023-06-30/Semi Annual	2023-09-30/3rd Quarter	2023-12-31/Annual	2024-03-31/1st Quarter	2024-06-30/Semi Annual	2024-09-30/3rd Quarter	2024-12-31/Annual	2025-03-31/1st Quarter	2025-06-30/Semi Annual	2025-09-30/3rd Quarter	2025-12-31/Annual	2026-03-31/1st Quarter
125145	      매도가능금융자산평가이익													
125121	      기타장단기투자자산평가이익													
125142	      단기투자일임계약자산평가이익													
125175	      유형자산평가이익													
125188	      무형자산평가이익													
125189	      투자부동산평가이익													
125162	      기타자산평가이익													
125112	   환율조정대환입													
125113	   대손충당부채환입											6812000	6812000	
125139	   재고자산평가손실환입													
125114	   장단기투자증권평가충당부채환입													
125120	   투자자산평가충당부채환입													
125153	   공정가액조정이익													
125124	   상각채권추심이익													
125152	   자전거래이익													
125125	   사채상환이익													
125150	   전환사채전환이익													
125127	   지분법이익													
125167	   자산손상차손환입													
125160	      임대주택자산손상차손환입													
125128	      투자자산손상차손환입													
125149	      매도가능금융자산손상차손환입													
125151	      만기보유금융자산손상차손환입													
125159	      기타장단기투자자산손상차손환입													
125166	      지분법주식손상차손환입													
125171	      종속기업투자손상차손환입													
125172	      관계기업투자손상차손환입													
125173	      조인트벤처투자손상차손환입													
125170	      유형자산손상차손환입													
125180	      무형자산손상차손환입													
125190	      기타자산손상차손환입													
125191	   주식보상비용환입													
125129	   법인세환급액													
125138	   중간기간오류이익													
125140	   중간기간영업외수익조정													
125134	   전기오류수정이익													
125135	   복구충당부채환입액													
125136	   복구공사이익													
125137	   유동화수익													
125157	   자산수증이익													
125158	   채무면제이익													
125154	   해외사업환산이익환입													
125168	   정부보조금													
125115	   기타영업외수익	84838000	104207000	121994000	207404000	127395000	457696000	500270000	682720000	87645000	284806000	236591000	264006000	114512000
126000	영업외비용	2456021000	4399201000	5501618000	7083440000	2912606000	4383312000	5363130000	7157618000	2161911000	3786681000	4822665000	5940014000	2301620000
126109	[금융비용자본화]													
126103	   금융비용	966602000	1907093000	2849346000	3788329000	885004000	1713558000	2485621000	3214032000	687251000	1320906000	1899828000	2541096000	586551000
