코드	계정명	2023-09-30/Annual	2024-09-30/Annual	2025-09-30/Annual
124223	      교육훈련비			
124224	      수수료비용	33176793000	36127226000	51535092000
124226	      리스료			
124227	      전산처리비			
124228	      하자보수비			
124225	      기타관리비	44070000	49359086000	66565248000
124300	   판매비	900840000	30839124000	25067190000
124311	      접대비			
124312	      광고선전비	900840000	19118685000	11974699000
124313	      보관료			
124314	      견본비			
124315	      포장비			
124316	      운반비			
124317	      판매수수료			
124319	      판매촉진비		11720439000	13092491000
124318	      해외시장개척비			
124320	      수출비용			
124322	      A/S비			
124323	      반품충당부채전입액			
124321	      기타판매비			
124400	   기타판매비와관리비	10751528000	20305103000	35671605000
124405	      [개발비 비용]			
124406	      연구비			
124410	      경상연구개발비			
124420	      경상개발비			
124421	      로얄티			
124440	      대손상각비			
124450	      무형자산상각비	41750000	1345768000	2282366000
124451	         영업권상각			
124452	         부의영업권환입(-)			
124461	         라이선스와프랜차이즈상각			
124453	         산업재산권상각			
124462	         저작권상각			
124463	         임차권리금상각			
124454	         광업권상각			
124455	         어업권상각			
124456	         차지권상각			
124457	         전용시설이용권상각			
124458	         창업비상각			
124459	         개발비상각			
124470	         소프트웨어상각	41750000	1345768000	2282366000
124471	         기타무형자산상각			
124472	      중간기간판매비와관리비조정			
124460	      기타의기타판매비와관리비	10709778000	18959335000	33389239000
125000	영업이익(손실)	-66891649000	-156383330000	-46121891000
125001	[공시영업이익(손실)]	-66891649000	-156383330000	-46121891000
125100	영업외수익	20658551000	4137573000	23779286000
125182	   금융수익	702281000	199007000	114556000
125192	   [공시금융수익]	4142131000	199007000	18619668000
125101	      이자수익	702281000	199007000	114556000
125102	      장단기투자자산이자수익			
125103	      배당금 수익			
125132	      매출채권처분이익			
125116	      주식배당금수익			
125183	      기타금융수익			
125200	   단기투자자산처분이익			
125201	   장기투자자산처분이익			
125122	   투자자산처분이익			
125131	   단기금융상품처분이익			
125146	   단기매매금융자산처분이익			
125169	   당기손익인식금융자산처분이익			
125147	   매도가능금융자산처분이익			
125148	   만기보유금융자산처분이익			
125104	   기타장단기투자자산처분이익			
125165	   지분법주식처분이익			
125184	   종속기업투자처분이익			
125185	   관계기업투자처분이익			
125186	   조인트벤처투자처분이익			
125133	   임대주택자산처분이익			
125123	   유,무형,리스자산처분이익		762000	11410000
125117	   신주인수권처분이익			
125161	   기타자산처분이익			
125105	   임대료수익			
125106	   수수료수익			
125107	   원가차익			
125108	   매입할인			
125110	   보험차익			
125109	   외환차익	1663516000	1580585000	3877401000
125111	   외화환산이익	49000	2311769000	1061043000
125118	   파생상품거래이익			
125119	   파생상품거래대환입			
125126	   파생상품평가이익	3439849000		18505112000
125187	   자산평가이익			
125143	      투자자산평가이익			
125141	      단기금융상품평가이익			
125144	      단기매매금융자산평가이익			
125155	      당기손익인식금융자산평가이익			
125145	      매도가능금융자산평가이익			
125121	      기타장단기투자자산평가이익			
125142	      단기투자일임계약자산평가이익			
125175	      유형자산평가이익			
125188	      무형자산평가이익			
125189	      투자부동산평가이익			
125162	      기타자산평가이익			
125112	   환율조정대환입			
125113	   대손충당부채환입			
125139	   재고자산평가손실환입			
125114	   장단기투자증권평가충당부채환입			
125120	   투자자산평가충당부채환입			
125153	   공정가액조정이익			
125124	   상각채권추심이익			
125152	   자전거래이익			
125125	   사채상환이익			
125150	   전환사채전환이익			
125127	   지분법이익			
125167	   자산손상차손환입			
125160	      임대주택자산손상차손환입			
125128	      투자자산손상차손환입			
125149	      매도가능금융자산손상차손환입			
125151	      만기보유금융자산손상차손환입			
125159	      기타장단기투자자산손상차손환입			
125166	      지분법주식손상차손환입			
125171	      종속기업투자손상차손환입			
125172	      관계기업투자손상차손환입			
125173	      조인트벤처투자손상차손환입			
125170	      유형자산손상차손환입			
125180	      무형자산손상차손환입			
125190	      기타자산손상차손환입			
125191	   주식보상비용환입			
125129	   법인세환급액			
125138	   중간기간오류이익			
125140	   중간기간영업외수익조정			
125134	   전기오류수정이익			
125135	   복구충당부채환입액			
125136	   복구공사이익			
125137	   유동화수익			
125157	   자산수증이익			
125158	   채무면제이익	10603750000		
125154	   해외사업환산이익환입			
125168	   정부보조금			
125115	   기타영업외수익	4249106000	45450000	209764000
126000	영업외비용	7534141000	113200816000	132484377000
126109	[금융비용자본화]	72801000000	18095000000	
126103	   금융비용	1752557000	96806592000	120846705000
126119	   [공시금융비용]	6150640000	112180962000	120916207000
126110	      이자비용	1576168000	96672612000	120742234000
126120	      사채이자			
126132	      매출채권처분손실			
126139	      상환우선주배당금			
126104	      기타금융비용	176389000	133980000	104471000
126121	   단기투자자산처분손실			
126122	   장기투자자산처분손실			
126270	   투자자산처분손실			298684000
126131	   단기금융상품처분손실			
126144	   단기매매금융자산처분손실			
126129	   당기손익인식금융자산처분손실			
126145	   매도가능금융자산처분손실			
